职位名称,职位标签,工作地区,薪资,公司名称,公司规模,工作类型
地质矿产,"['3-4年', '本科', '地质矿产', '矿产勘查', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '职工宿舍']",重庆·渝北区,8千-1.6万,重庆市吉丰地质勘查有限公司,150-500人,石油/化工/矿产/地质
地质工程师,"['3-4年', '本科', '物探', '测绘', '岩土', '五险一金', '年终奖金']",成都·高新区,10-15万/年,四川诚道吉科技股份有限公司,,电气/电力/水利
矿长,"['10年以上', '本科', '五险一金', '餐饮补贴', '通讯补贴', '绩效奖金', '包住宿', '带薪年假', '节日福利']",凉山,50-80万/年,雷波凯瑞磷化工有限责任公司,500-1000人,石油/化工/矿产/地质
地质员,"['1年', '大专', '五险一金', '专业培训', '定期体检', '餐饮补贴']",昆明·西山区,7千-1万,深圳市佳鸿集团控股有限公司,5000-10000人,贸易/进出口
选矿工程师(J11057),"['无需经验', '硕士', '五险一金', '包食宿', '年终奖金', '高温补贴']",宜春,9千-1.4万·13薪,国轩高科股份有限公司,10000人以上,新能源
地质工程师,"['无需经验', '硕士']",北京,2-2.5万·13薪,斯伦贝谢（中国）投资有限公司,10000人以上,石油/化工/矿产/地质
矿业类 英文学术期刊助理编辑,"['无需经验', '硕士', '英语六级', '处理稿件', '同行评审', '采矿工程', '石油工程', '矿物资源工程', '油气储运工程', '矿物加工工程', '交通补贴', '绩效奖金', '年终奖金', '六险一金']",南京·江宁区,1.2-1.7万,曼迪匹艾（南京）科技服务有限公司,50-150人,文字媒体/出版
矿物加工室主任,"['3-4年', '本科', '选矿', '球团', '试验', '研究', '五险一金']",黄石,8千-1.3万,武汉开圣科技有限责任公司,50-150人,石油/化工/矿产/地质
矿产部经理,"['3-4年', '本科', '选矿', '物探', '探矿', '矿产', '矿业', '金矿', '矿产经理', '地质', '地质勘探', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '年终奖金', '绩效奖金', '定期体检', '出国机会']",北京·东城区,1.5-2.5万·14薪,北京正和正信投资管理有限公司,少于50人,金融/投资/证券
选矿总工,"['3-4年', '本科', '技术管理', '报告编写', '指标分析', '试验操作', '流程改进', '设计工艺', '设备参数', '选厂', '铁矿', '试验数据整理', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']",大连·中山区,25-50万/年,大连晟凯国际贸易有限公司,,贸易/进出口
